analyte,parameter,value,median,min,max
10-1074,A,0.14141847512157876,0.14141847512157876,0.14141847512157876,0.14141847512157876
10-1074,alpha_parm,0.3713005448677197,0.3713005448677197,0.3713005448677197,0.3713005448677197
10-1074,B,0.08636152903745405,0.08636152903745405,0.08636152903745405,0.08636152903745405
10-1074,beta_parm,0.026688651536782265,0.026688651536782265,0.026688651536782265,0.026688651536782265
10-1074,Cl,0.25690357142857145,0.25690357142857145,0.25690357142857145,0.25690357142857145
10-1074,Cmax,454.79785714285714,454.79785714285714,454.79785714285714,454.79785714285714
10-1074,HL_distribution,4.166398373112304,4.166398373112304,4.166398373112304,4.166398373112304
10-1074,HL_elimination,26.692563413114673,26.692563413114673,26.692563413114673,26.692563413114673
10-1074,LLOQ,0.2,0.2,0.2,0.2
10-1074,Q,0.667174,0.667174,0.667174,0.667174
10-1074,total_auc,7181.002128541216,7181.002128541216,7181.002128541216,7181.002128541216
10-1074,total_auc_lloq,7173.3012640406205,7173.3012640406205,7173.3012640406205,7173.3012640406205
10-1074,V1,4.5037714285714285,4.5037714285714285,4.5037714285714285,4.5037714285714285
10-1074,V2,3.289557142857143,3.289557142857143,3.289557142857143,3.289557142857143
3BNC117,A,0.20189088995767845,0.20189088995767845,0.20189088995767845,0.20189088995767845
3BNC117,alpha_parm,0.8578258122932583,0.8578258122932583,0.8578258122932583,0.8578258122932583
3BNC117,B,0.056735534537309264,0.056735534537309264,0.056735534537309264,0.056735534537309264
3BNC117,beta_parm,0.04050763145795257,0.04050763145795257,0.04050763145795257,0.04050763145795257
3BNC117,Cl,0.648335,0.648335,0.648335,0.648335
3BNC117,Cmax,302.30227272727274,302.30227272727274,302.30227272727274,302.30227272727274
3BNC117,HL_distribution,1.2244523261556375,1.2244523261556375,1.2244523261556375,1.2244523261556375
3BNC117,HL_elimination,19.479663318943548,19.479663318943548,19.479663318943548,19.479663318943548
3BNC117,LLOQ,0.25,0.25,0.25,0.25
3BNC117,Q,2.1894281818181818,2.1894281818181818,2.1894281818181818,2.1894281818181818
3BNC117,total_auc,3196.1069572751717,3196.1069572751717,3196.1069572751717,3196.1069572751717
3BNC117,total_auc_lloq,3189.0811539350843,3189.0811539350843,3189.0811539350843,3189.0811539350843
3BNC117,V1,5.024861363636363,5.024861363636363,5.024861363636363,5.024861363636363
3BNC117,V2,8.647045454545454,8.647045454545454,8.647045454545454,8.647045454545454
